EmpID	FirstName	LastName	Email	Gender
001	Robert	Williams	rwilliams@ccny.cuny.edu	M
002	Skylar	White	swhite@ccny.cuny.edu	F
003	Walter	White	wwhite@ccny.cuny.edu	M
004	Jesse	Pinkman	jpinkman@ccny.cuny.edu	M
005	John	Milton	jmilton@ccny.cuny.edu	U
006	Betty	White	bwhite@ccny.cuny.edu	F
007	Donald	Duck	dduck@ccny.cuny.edu	U
008	Rei	Ayanami	rayanami@ccny.cuny.edu	F
009	Shinji	Ikari	sikari@ccny.cuny.edu	M
010	Asuka	Langley-Soryu	asoryu@ccny.cuny.edu	F
011	Misato	Katsuragi	mkatsuragi@ccny.cuny.edu	F
012	Eren	Yeager	eyeager@ccny.cuny.edu	M
013	Mikasa	Ackerman	mackerman@ccny.cuny.edu	F
014	Armin	Arlert	aarlert@ccny.cuny.edu	M
015	Lady	Gaga	lgaga@ccny.cuny.edu	F
016	Katy	Perry	kperry@ccny.cuny.edu	F
017	Jason	Derulo	jderulo@ccny.cuny.edu	M
018	Taylor	Swift	tswift@ccny.cuny.edu	F
019	Tyler	The-Creator	tcreator@ccny.cuny.edu	M
020	Bruce	Wayne	bwayne@ccny.cuny.edu	M
021	Albert	Einstein	aeinstein@ccny.cuny.edu	M
022	Joe	Mama	jmama@ccny.cuny.edu	U
023	Roy	Mustang	rmustang@ccny.cuny.edu	M
024	Naruto	Uzumaki	nuzumaki@ccny.cuny.edu	M
025	Ethan	Winters	ewinters@ccny.cuny.edu	M
026	Benjamin	Franklin	bfranklin@ccny.cuny.edu	M
027	Scott	Cawthon	scawthon@ccny.cuny.edu	M
028	Luffy	D-Monkey	lmonkey@ccny.cuny.edu	M
029	Charles	White	cwhite@ccny.cuny.edu	M
